99AA05-0414-9443	
250	0.972
251	0.972
252	0.973
253	0.972
254	0.972
255	0.974
256	0.975
257	0.975
258	0.974
259	0.975
260	0.975
261	0.975
262	0.975
263	0.976
264	0.976
265	0.976
266	0.976
267	0.977
268	0.978
269	0.977
270	0.976
271	0.976
272	0.977
273	0.978
274	0.978
275	0.978
276	0.978
277	0.978
278	0.979
279	0.979
280	0.979
281	0.979
282	0.979
283	0.981
284	0.981
285	0.982
286	0.981
287	0.982
288	0.982
289	0.981
290	0.982
291	0.983
292	0.983
293	0.984
294	0.984
295	0.984
296	0.984
297	0.984
298	0.985
299	0.985
300	0.985
301	0.985
302	0.985
303	0.986
304	0.986
305	0.986
306	0.986
307	0.986
308	0.985
309	0.986
310	0.986
311	0.986
312	0.986
313	0.987
314	0.987
315	0.987
316	0.987
317	0.986
318	0.988
319	0.988
320	0.989
321	0.990
322	0.989
323	0.990
324	0.990
325	0.989
326	0.988
327	0.988
328	0.989
329	0.989
330	0.988
331	0.988
332	0.988
333	0.989
334	0.989
335	0.989
336	0.989
337	0.989
338	0.989
339	0.990
340	0.990
341	0.990
342	0.990
343	0.989
344	0.989
345	0.990
346	0.990
347	0.990
348	0.990
349	0.990
350	0.990
351	0.990
352	0.990
353	0.989
354	0.989
355	0.989
356	0.989
357	0.990
358	0.990
359	0.989
360	0.989
361	0.989
362	0.989
363	0.990
364	0.990
365	0.991
366	0.991
367	0.991
368	0.991
369	0.991
370	0.991
371	0.991
372	0.990
373	0.990
374	0.991
375	0.990
376	0.991
377	0.991
378	0.990
379	0.990
380	0.990
381	0.990
382	0.990
383	0.990
384	0.990
385	0.991
386	0.991
387	0.991
388	0.991
389	0.991
390	0.991
391	0.991
392	0.991
393	0.991
394	0.991
395	0.991
396	0.992
397	0.992
398	0.991
399	0.992
400	0.992
401	0.992
402	0.992
403	0.992
404	0.992
405	0.991
406	0.992
407	0.991
408	0.991
409	0.991
410	0.991
411	0.991
412	0.991
413	0.991
414	0.991
415	0.992
416	0.991
417	0.992
418	0.992
419	0.991
420	0.991
421	0.992
422	0.991
423	0.991
424	0.992
425	0.991
426	0.992
427	0.991
428	0.991
429	0.992
430	0.991
431	0.991
432	0.991
433	0.992
434	0.991
435	0.991
436	0.992
437	0.991
438	0.991
439	0.991
440	0.991
441	0.992
442	0.992
443	0.991
444	0.991
445	0.991
446	0.991
447	0.991
448	0.991
449	0.991
450	0.991
451	0.991
452	0.991
453	0.991
454	0.991
455	0.990
456	0.991
457	0.990
458	0.991
459	0.991
460	0.991
461	0.990
462	0.991
463	0.991
464	0.991
465	0.992
466	0.991
467	0.990
468	0.991
469	0.992
470	0.991
471	0.991
472	0.991
473	0.991
474	0.991
475	0.991
476	0.992
477	0.992
478	0.992
479	0.992
480	0.992
481	0.992
482	0.993
483	0.993
484	0.992
485	0.992
486	0.992
487	0.993
488	0.993
489	0.992
490	0.992
491	0.991
492	0.991
493	0.992
494	0.992
495	0.992
496	0.992
497	0.990
498	0.991
499	0.992
500	0.991
501	0.991
502	0.991
503	0.991
504	0.991
505	0.992
506	0.992
507	0.992
508	0.992
509	0.990
510	0.991
511	0.991
512	0.992
513	0.991
514	0.992
515	0.991
516	0.991
517	0.992
518	0.991
519	0.991
520	0.992
521	0.991
522	0.991
523	0.992
524	0.991
525	0.991
526	0.991
527	0.990
528	0.992
529	0.992
530	0.992
531	0.992
532	0.991
533	0.991
534	0.991
535	0.991
536	0.991
537	0.991
538	0.992
539	0.991
540	0.992
541	0.993
542	0.992
543	0.992
544	0.991
545	0.990
546	0.991
547	0.991
548	0.992
549	0.992
550	0.991
551	0.992
552	0.992
553	0.992
554	0.991
555	0.991
556	0.991
557	0.991
558	0.991
559	0.991
560	0.992
561	0.992
562	0.992
563	0.992
564	0.992
565	0.991
566	0.991
567	0.992
568	0.992
569	0.992
570	0.991
571	0.991
572	0.992
573	0.992
574	0.992
575	0.992
576	0.992
577	0.991
578	0.991
579	0.992
580	0.992
581	0.992
582	0.991
583	0.992
584	0.992
585	0.992
586	0.992
587	0.992
588	0.992
589	0.992
590	0.992
591	0.992
592	0.992
593	0.992
594	0.992
595	0.992
596	0.992
597	0.992
598	0.991
599	0.992
600	0.992
601	0.991
602	0.991
603	0.992
604	0.992
605	0.992
606	0.991
607	0.991
608	0.992
609	0.992
610	0.992
611	0.992
612	0.992
613	0.991
614	0.991
615	0.991
616	0.991
617	0.992
618	0.992
619	0.991
620	0.992
621	0.992
622	0.992
623	0.992
624	0.992
625	0.991
626	0.992
627	0.991
628	0.992
629	0.992
630	0.992
631	0.992
632	0.992
633	0.992
634	0.992
635	0.992
636	0.992
637	0.991
638	0.992
639	0.992
640	0.992
641	0.992
642	0.991
643	0.992
644	0.992
645	0.992
646	0.992
647	0.992
648	0.992
649	0.992
650	0.992
651	0.992
652	0.992
653	0.992
654	0.992
655	0.992
656	0.992
657	0.992
658	0.992
659	0.992
660	0.992
661	0.991
662	0.992
663	0.992
664	0.992
665	0.992
666	0.992
667	0.991
668	0.991
669	0.992
670	0.992
671	0.991
672	0.991
673	0.991
674	0.992
675	0.992
676	0.992
677	0.992
678	0.991
679	0.991
680	0.992
681	0.992
682	0.992
683	0.992
684	0.991
685	0.991
686	0.992
687	0.992
688	0.992
689	0.991
690	0.991
691	0.991
692	0.991
693	0.992
694	0.992
695	0.992
696	0.992
697	0.992
698	0.991
699	0.992
700	0.992
701	0.991
702	0.991
703	0.992
704	0.991
705	0.991
706	0.992
707	0.992
